Iteracion,Error_Norma
1,0.3242956562645073
2,0.09306268811565888
3,0.20125001436979695
4,0.2294711117622119
5,0.07388421903345255
6,0.2412021547692016
7,0.33999870238806384
8,0.17727788815142065
9,0.13894263238218663
10,0.11654117934696562
11,0.10291935895776538
12,0.027808799339417933
13,0.224888877590118
14,0.07653392197041997
15,0.15944008851627534
16,0.10222896602267739
17,0.16615866407800983
18,0.30784787854811446
19,0.07177086508426489
20,0.17562130571292234
21,0.08698631993184291
22,0.13195300711121005
23,0.3687926155403798
24,0.11857439843493878
25,0.1721166240951828
26,0.10567508480504528
27,0.12464061624668032
28,0.46799382376283627
29,0.03780411839975817
30,0.038977996895736555
